,intcpt,slp,rsq,resid.mean,resid.med,resid.prop.pos,source
(Intercept)781,9.249358528,0.36735497,0.01391879,5.83113142,4.491965834,0.726978998,Navajo Nation: Water
(Intercept)782,7.952733255,0.603790426,0.039960638,5.837214723,3.745337446,0.736672052,Navajo Nation: Water
(Intercept)783,5.849863803,0.849271896,0.077826164,5.037267754,3.677204165,0.71082391,Navajo Nation: Water
(Intercept)784,9.290947119,0.35618298,0.016459837,5.844640486,4.107805112,0.709208401,Navajo Nation: Water
(Intercept)785,6.886682109,0.594143971,0.084099453,4.667435669,3.650193045,0.718901454,Navajo Nation: Water
(Intercept)786,7.112202306,0.705266998,0.081385933,5.568048746,4.061112126,0.749596123,Navajo Nation: Water
(Intercept)787,7.406056481,0.691213035,0.057275395,5.742614358,3.788452934,0.707592892,Navajo Nation: Water
(Intercept)788,7.292344091,0.738678677,0.045482366,5.968441963,4.263605397,0.722132472,Navajo Nation: Water
(Intercept)789,7.881511597,0.54908538,0.049906529,5.535291755,3.835640838,0.738287561,Navajo Nation: Water
(Intercept)790,8.918334579,0.29699995,0.017884707,5.052534478,4.042754304,0.725363489,Navajo Nation: Water
(Intercept)791,6.176113302,0.963945535,0.09092099,5.981672544,4.003815549,0.720516963,Navajo Nation: Water
(Intercept)792,8.543763348,0.459396688,0.032695332,5.601272106,3.854940355,0.731825525,Navajo Nation: Water
(Intercept)793,6.746614513,0.715256469,0.079231933,5.242231195,3.84358355,0.735056543,Navajo Nation: Water
(Intercept)794,7.18921733,0.573717174,0.061360611,4.881884987,3.290761166,0.701130856,Navajo Nation: Water
(Intercept)795,7.596140108,0.582414305,0.063681819,5.319882953,3.653571701,0.714054927,Navajo Nation: Water
(Intercept)796,5.895300336,0.876430508,0.130471521,5.224327628,3.834051503,0.697899838,Navajo Nation: Water
(Intercept)797,8.741510168,0.288189254,0.027600374,4.880588207,4.101088328,0.731825525,Navajo Nation: Water
(Intercept)798,8.354915837,0.427364908,0.025647081,5.2880806,3.599027011,0.71082391,Navajo Nation: Water
(Intercept)799,7.702603027,0.514984645,0.048533836,5.124050759,3.575120036,0.715670436,Navajo Nation: Water
(Intercept)800,8.54410625,0.380540343,0.030837175,5.264416599,4.137939703,0.726978998,Navajo Nation: Water
(Intercept)801,8.54293662,0.329886365,0.019658568,4.979694571,3.961354813,0.717285945,Navajo Nation: Water
(Intercept)802,8.341641045,0.285043514,0.018723338,4.67586866,3.614773784,0.707592892,Navajo Nation: Water
(Intercept)803,8.190570454,0.417595278,0.028568614,5.173344011,4.191688106,0.735056543,Navajo Nation: Water
(Intercept)804,7.755348246,0.523867301,0.049717915,5.219319827,3.995848736,0.746365105,Navajo Nation: Water
(Intercept)805,7.064016562,0.713006603,0.070595598,5.506800594,3.913241484,0.731825525,Navajo Nation: Water
(Intercept)806,7.262233392,0.608956967,0.05541547,5.161397747,4.067636927,0.715670436,Navajo Nation: Water
(Intercept)807,7.474588863,0.531408842,0.047028409,5.033596601,3.781564366,0.722132472,Navajo Nation: Water
(Intercept)808,6.070036063,0.909138945,0.072889591,5.595152795,3.857919311,0.714054927,Navajo Nation: Water
(Intercept)809,6.692243382,0.72496019,0.114891397,5.235190088,3.645274914,0.730210016,Navajo Nation: Water
(Intercept)810,8.117562634,0.665626741,0.033193002,6.373800907,3.9597245,0.744749596,Navajo Nation: Water
(Intercept)811,8.545750142,0.406226557,0.031566204,5.48205088,4.512455622,0.735056543,Navajo Nation: Water
(Intercept)812,7.79168285,0.480380669,0.045835361,5.077601155,3.876869729,0.722132472,Navajo Nation: Water
