"","intcpt","slp","rsq","scen"
"(Intercept)4810",96.6829276566465,0.778266941167837,0.240942752474912,"HEALS primary + secondary water"
"(Intercept)4910",94.9737802832518,0.785009254189086,0.241725817171886,"HEALS primary + secondary water"
"(Intercept)5010",93.9634478749495,0.79902226938386,0.243221812244269,"HEALS primary + secondary water"
"(Intercept)5110",100.407306992927,0.771612550467452,0.232261427903725,"HEALS primary + secondary water"
"(Intercept)5210",95.4367749715286,0.782884250011248,0.247979335075744,"HEALS primary + secondary water"
"(Intercept)5310",96.8044400225685,0.781864241600189,0.233222653933697,"HEALS primary + secondary water"
"(Intercept)5410",99.3691164898412,0.778500196091609,0.239520216908225,"HEALS primary + secondary water"
"(Intercept)5510",93.5202542232968,0.784524769773309,0.247605771650662,"HEALS primary + secondary water"
"(Intercept)5610",92.5935173421504,0.794174631320859,0.239817660303644,"HEALS primary + secondary water"
"(Intercept)5710",94.6747688724028,0.785842794884431,0.239031225053631,"HEALS primary + secondary water"
"(Intercept)5810",97.3789129573591,0.782707435686155,0.237740590422671,"HEALS primary + secondary water"
"(Intercept)5910",97.208048696729,0.784209577510035,0.235030662024428,"HEALS primary + secondary water"
"(Intercept)6010",98.1501065520959,0.778393663496093,0.2402180144234,"HEALS primary + secondary water"
"(Intercept)6110",96.4396004081068,0.787488457404258,0.236819216334528,"HEALS primary + secondary water"
"(Intercept)6210",95.0409989095926,0.790663391952811,0.242343173606517,"HEALS primary + secondary water"
"(Intercept)6310",99.3142586691935,0.764743030021527,0.241323526173935,"HEALS primary + secondary water"
"(Intercept)6410",93.0936037070645,0.793355959177651,0.244867266398439,"HEALS primary + secondary water"
"(Intercept)6510",93.6982354911384,0.797188827369525,0.245767418358804,"HEALS primary + secondary water"
"(Intercept)6610",97.0672965932309,0.781150387788799,0.236518603754443,"HEALS primary + secondary water"
"(Intercept)6710",96.3282827778268,0.791187823453575,0.229075751104369,"HEALS primary + secondary water"
"(Intercept)6810",95.9283230238236,0.785256697375974,0.233209804005769,"HEALS primary + secondary water"
"(Intercept)6910",92.4502523156224,0.796548053296082,0.239117435389645,"HEALS primary + secondary water"
"(Intercept)7010",96.2723844013846,0.7876110611935,0.24075362984206,"HEALS primary + secondary water"
"(Intercept)7110",91.9532431348253,0.793926299018775,0.248404135960766,"HEALS primary + secondary water"
"(Intercept)7210",93.1525289537889,0.799096685596919,0.243313463063813,"HEALS primary + secondary water"
"(Intercept)7310",94.2550456992221,0.791989717461993,0.237074631736311,"HEALS primary + secondary water"
"(Intercept)7410",96.2157917610856,0.775646856378255,0.239450407998314,"HEALS primary + secondary water"
"(Intercept)7510",96.3036248889067,0.780909571920756,0.240784720148937,"HEALS primary + secondary water"
"(Intercept)7610",93.6106586265665,0.792178539622023,0.237658850025895,"HEALS primary + secondary water"
"(Intercept)7710",92.0767481818968,0.80441425858774,0.23819472086924,"HEALS primary + secondary water"
"(Intercept)7810",92.0219329567313,0.795137479577457,0.243241599253764,"HEALS primary + secondary water"
"(Intercept)7910",96.2614484038005,0.780140926402087,0.2397644704378,"HEALS primary + secondary water"
"(Intercept)8010",93.7899046721143,0.79342895125737,0.245346798579998,"HEALS primary + secondary water"
"(Intercept)8110",99.7228749566392,0.772713624317319,0.236028184749064,"HEALS primary + secondary water"
"(Intercept)8210",92.9961500187933,0.795039582665297,0.242404779704734,"HEALS primary + secondary water"
"(Intercept)8310",93.0115096038437,0.794622052352632,0.238620126176434,"HEALS primary + secondary water"
"(Intercept)8410",98.8689514396383,0.773005565958124,0.237889932913301,"HEALS primary + secondary water"
"(Intercept)8510",98.0191730672896,0.775713762095985,0.2329188565454,"HEALS primary + secondary water"
"(Intercept)8610",98.5233150369522,0.773788993544376,0.240512099207785,"HEALS primary + secondary water"
"(Intercept)8710",94.6937230710481,0.79320381807381,0.238433985327946,"HEALS primary + secondary water"
"(Intercept)8810",96.3107442078975,0.785744365723967,0.23526779616399,"HEALS primary + secondary water"
"(Intercept)8910",91.6391741929586,0.799260503186747,0.246501831829728,"HEALS primary + secondary water"
"(Intercept)9010",95.7695959759695,0.78873404143223,0.236670621496904,"HEALS primary + secondary water"
"(Intercept)9110",90.6297821517068,0.802497290109736,0.241463325090423,"HEALS primary + secondary water"
"(Intercept)9210",99.395011021903,0.768848756002646,0.23792452947027,"HEALS primary + secondary water"
"(Intercept)9310",94.8846187454715,0.781882529948045,0.24145777514137,"HEALS primary + secondary water"
"(Intercept)9410",91.7808063290145,0.802247503901933,0.24525167091836,"HEALS primary + secondary water"
"(Intercept)9510",98.4730988411946,0.772520229992375,0.236494720329848,"HEALS primary + secondary water"
"(Intercept)9610",95.0650859534433,0.79112228961271,0.241383809415109,"HEALS primary + secondary water"
"(Intercept)9710",98.5846003058596,0.776749673881174,0.233409685392936,"HEALS primary + secondary water"
"(Intercept)9810",94.4009342564721,0.796014942298146,0.245394292906963,"HEALS primary + secondary water"
"(Intercept)9910",92.3154114297492,0.789442255625819,0.241394448488843,"HEALS primary + secondary water"
"(Intercept)1001",92.202411375074,0.800791158750266,0.248964649217405,"HEALS primary + secondary water"
"(Intercept)1011",93.1255632381441,0.79721181197031,0.24107770499014,"HEALS primary + secondary water"
"(Intercept)1021",91.7925908050071,0.803391560361845,0.246376859125906,"HEALS primary + secondary water"
"(Intercept)1031",94.1943169950834,0.794493499085344,0.244699545385662,"HEALS primary + secondary water"
